year,datepart,Country,unique_visitors
2019,2019-01-05T00:00:00Z,Germany,359
2019,2019-01-05T00:00:00Z,Germany,4608
2019,2019-01-05T00:00:00Z,France,13747
2019,2019-01-05T00:00:00Z,France,295
2019,2019-01-05T00:00:00Z,Australia,124
2019,2019-01-05T00:00:00Z,Australia,2767
2019,2019-01-05T00:00:00Z,Germany,273
2019,2019-01-05T00:00:00Z,Germany,3021
2019,2019-01-05T00:00:00Z,France,3343
2019,2019-01-05T00:00:00Z,France,4
2019,2019-01-05T00:00:00Z,Australia,156
2019,2019-01-05T00:00:00Z,Australia,6228
2019,2019-01-05T00:00:00Z,Germany,72
2019,2019-01-05T00:00:00Z,Germany,3887
2019,2019-01-05T00:00:00Z,France,46
2019,2019-01-05T00:00:00Z,France,8751
2019,2019-01-05T00:00:00Z,Australia,28
2019,2019-01-05T00:00:00Z,Australia,1569
2019,2019-01-05T00:00:00Z,Germany,487
2019,2019-01-05T00:00:00Z,Germany,4613
2019,2019-01-05T00:00:00Z,France,672
2019,2019-01-05T00:00:00Z,France,3484
2019,2019-01-05T00:00:00Z,Australia,2259
2019,2019-01-05T00:00:00Z,Australia,254
2019,2019-01-05T00:00:00Z,Germany,7901
2019,2019-01-05T00:00:00Z,Germany,1292
2019,2019-01-05T00:00:00Z,France,6189
2019,2019-01-05T00:00:00Z,France,1350
2019,2019-01-05T00:00:00Z,Australia,1018
2019,2019-01-05T00:00:00Z,Australia,7200
2019,2019-01-05T00:00:00Z,Germany,1
2019,2019-01-05T00:00:00Z,Germany,1190
2019,2019-01-05T00:00:00Z,France,1362
2019,2019-01-05T00:00:00Z,Australia,100
2019,2019-01-05T00:00:00Z,Australia,2642
2019,2019-01-05T00:00:00Z,Germany,6
2019,2019-01-05T00:00:00Z,Germany,3554
2019,2019-01-05T00:00:00Z,France,1397
2019,2019-01-05T00:00:00Z,France,5
2019,2019-01-05T00:00:00Z,Australia,43
2019,2019-01-05T00:00:00Z,Australia,3619
2019,2019-01-05T00:00:00Z,Germany,187
2019,2019-01-05T00:00:00Z,France,1897
2019,2019-01-05T00:00:00Z,Australia,1
2019,2019-01-05T00:00:00Z,Australia,840
2019,2019-01-05T00:00:00Z,Germany,1484
2019,2019-01-05T00:00:00Z,Germany,5495
2019,2019-01-05T00:00:00Z,France,392
2019,2019-01-05T00:00:00Z,France,1831
2019,2019-01-05T00:00:00Z,Australia,44
2019,2019-01-05T00:00:00Z,Australia,2683
2019,2019-01-05T00:00:00Z,Germany,537
2019,2019-01-05T00:00:00Z,France,1020
2019,2019-01-05T00:00:00Z,Australia,856
2019,2019-01-05T00:00:00Z,Germany,280
2019,2019-01-05T00:00:00Z,France,220
2019,2019-01-05T00:00:00Z,Australia,313
2019,2019-01-05T00:00:00Z,Germany,512
2019,2019-01-05T00:00:00Z,France,2898
2019,2019-01-05T00:00:00Z,France,17
2019,2019-01-05T00:00:00Z,Australia,1019
2019,2019-01-05T00:00:00Z,Australia,9
2019,2019-01-05T00:00:00Z,Germany,1186
2019,2019-01-05T00:00:00Z,France,1803
2019,2019-01-05T00:00:00Z,Australia,489
2019,2019-01-05T00:00:00Z,Germany,1
2019,2019-01-05T00:00:00Z,Germany,294
2019,2019-01-05T00:00:00Z,France,1
2019,2019-01-05T00:00:00Z,France,327
2019,2019-01-05T00:00:00Z,Australia,4
2019,2019-01-05T00:00:00Z,Australia,840
2019,2019-01-05T00:00:00Z,Germany,92
2019,2019-01-05T00:00:00Z,Germany,3079
2019,2019-01-05T00:00:00Z,France,88
2019,2019-01-05T00:00:00Z,France,1970
2019,2019-01-05T00:00:00Z,Australia,625
2019,2019-01-05T00:00:00Z,Australia,9517
2019,2019-01-05T00:00:00Z,Germany,1
2019,2019-01-05T00:00:00Z,Germany,201
2019,2019-01-05T00:00:00Z,France,4
2019,2019-01-05T00:00:00Z,France,413
2019,2019-01-05T00:00:00Z,Australia,1
2019,2019-01-05T00:00:00Z,Australia,993
2019,2019-01-05T00:00:00Z,Germany,1
2019,2019-01-05T00:00:00Z,Germany,1026
2019,2019-01-05T00:00:00Z,France,2435
2019,2019-01-05T00:00:00Z,Australia,54
2019,2019-01-05T00:00:00Z,Australia,992
2019,2019-01-05T00:00:00Z,Germany,22
2019,2019-01-05T00:00:00Z,Germany,468
2019,2019-01-05T00:00:00Z,France,399
2019,2019-01-05T00:00:00Z,Australia,513
2019,2019-01-05T00:00:00Z,Germany,2
2019,2019-01-05T00:00:00Z,Germany,4956
2019,2019-01-05T00:00:00Z,France,5
2019,2019-01-05T00:00:00Z,France,2163
2019,2019-01-05T00:00:00Z,Australia,58
2019,2019-01-05T00:00:00Z,Australia,5833
